ID	adj.P.Val	P.Value	t	B	logFC	ORF
agaB	0.56647	2.97e-01	1.11	-5.9144	4.99e-02	agaB
leuU	0.56647	2.97e-01	-1.11	-5.9145	-3.20e-02	leuU
yfjH	0.56647	2.97e-01	1.11	-5.9146	2.04e-02	yfjH
tyrS	0.56647	2.97e-01	-1.11	-5.9147	-2.14e-02	tyrS
yiaO	0.56647	2.97e-01	1.11	-5.9148	6.00e-02	yiaO
tsgA	0.56647	2.97e-01	-1.11	-5.915	-1.65e-01	tsgA
yjiN	0.56647	2.97e-01	1.11	-5.915	4.25e-02	yjiN
yidC	0.56661	2.98e-01	1.11	-5.916	2.48e-02	yidC
insN-2	0.56661	2.98e-01	1.11	-5.9162	2.46e-02	insN-2
nrfE	0.56661	2.98e-01	1.11	-5.9162	4.01e-02	nrfE
yccM	0.56753	2.99e-01	-1.11	-5.9181	-3.13e-02	yccM
yghU	0.56753	2.99e-01	-1.11	-5.9181	-2.04e-02	yghU
ispB	0.56772	2.99e-01	-1.11	-5.919	-2.45e-02	ispB
mreC	0.56772	2.99e-01	1.11	-5.9193	3.11e-02	mreC
ygfT	0.56772	2.99e-01	1.11	-5.9194	4.10e-02	ygfT
flhA	0.56877	3.00e-01	-1.11	-5.9215	-7.17e-02	flhA
eptA	0.56877	3.00e-01	-1.11	-5.9217	-7.14e-02	eptA
csgG	0.56877	3.00e-01	-1.11	-5.922	-6.38e-02	csgG
yeiJ	0.56877	3.00e-01	1.11	-5.9221	6.97e-02	yeiJ
atpA	0.56897	3.00e-01	-1.11	-5.923	-3.64e-02	atpA
abgT	0.56897	3.00e-01	-1.11	-5.923	-4.04e-02	abgT
rbn	0.5691	3.01e-01	1.10	-5.9235	2.30e-02	rbn
panB	0.57015	3.01e-01	-1.10	-5.9253	-2.82e-02	panB
ycbZ	0.5707	3.02e-01	1.10	-5.9269	1.84e-02	ycbZ
yaiW	0.5707	3.02e-01	-1.10	-5.927	-2.45e-02	yaiW
yfeY	0.5707	3.02e-01	-1.10	-5.9272	-1.97e-02	yfeY
mdlA	0.5707	3.02e-01	1.10	-5.9274	1.79e-02	mdlA
ybcJ	0.57084	3.02e-01	-1.10	-5.9279	-2.75e-02	ybcJ
atoB	0.57142	3.03e-01	-1.10	-5.929	-1.90e-02	atoB
bcsA	0.57156	3.03e-01	-1.10	-5.9299	-4.84e-02	bcsA
ybiU	0.57156	3.03e-01	-1.10	-5.93	-6.89e-02	ybiU
moaD	0.57156	3.03e-01	1.10	-5.9302	2.69e-02	moaD
cpxA	0.57187	3.04e-01	1.10	-5.9317	2.16e-02	cpxA
acrR	0.57187	3.04e-01	1.10	-5.9321	3.59e-02	acrR
hyfC	0.57187	3.04e-01	-1.10	-5.9327	-6.53e-02	hyfC
fre	0.57187	3.04e-01	1.10	-5.9328	1.54e-02	fre
ddpD	0.57187	3.04e-01	-1.10	-5.9328	-3.39e-02	ddpD
yfjS	0.57187	3.04e-01	1.10	-5.9329	2.82e-02	yfjS
yjiH	0.57187	3.04e-01	-1.10	-5.933	-4.87e-02	yjiH
fabI	0.57187	3.04e-01	1.10	-5.9332	3.29e-02	fabI
garP	0.57245	3.05e-01	-1.09	-5.9343	-5.94e-02	garP
sgcC	0.57248	3.05e-01	1.09	-5.9347	1.51e-02	sgcC
nudB	0.57248	3.05e-01	1.09	-5.9352	2.57e-02	nudB
ybgA	0.57248	3.05e-01	1.09	-5.9353	2.99e-02	ybgA
yohK	0.57266	3.05e-01	-1.09	-5.9359	-4.15e-02	yohK
yicN	0.57374	3.06e-01	-1.09	-5.9376	-2.43e-02	yicN
tag	0.57436	3.07e-01	-1.09	-5.9391	-2.54e-02	tag
hyaE	0.57436	3.07e-01	-1.09	-5.9393	-5.31e-02	hyaE
ygiT	0.57436	3.07e-01	1.09	-5.9397	3.05e-02	ygiT
iscU	0.57436	3.07e-01	-1.09	-5.9403	-3.53e-02	iscU
ycfM	0.57436	3.07e-01	-1.09	-5.9404	-2.30e-02	ycfM
yejE	0.57436	3.07e-01	1.09	-5.9407	2.82e-02	yejE
glvB	0.57436	3.07e-01	1.09	-5.9407	5.34e-02	glvB
yfjJ	0.57479	3.08e-01	-1.09	-5.9417	-2.60e-02	yfjJ
cbl	0.57479	3.08e-01	1.09	-5.942	4.06e-02	cbl
rzpR	0.57524	3.08e-01	-1.09	-5.9429	-3.70e-02	rzpR
rfaY	0.57562	3.09e-01	-1.09	-5.9437	-3.77e-02	rfaY
yfcX	0.57566	3.09e-01	-1.08	-5.9446	-6.23e-02	yfcX
moeB	0.57566	3.09e-01	-1.08	-5.9452	-1.79e-02	moeB
topB	0.57566	3.09e-01	1.08	-5.9454	3.00e-02	topB
racC	0.57566	3.09e-01	-1.08	-5.9454	-2.17e-02	racC
yceD	0.57566	3.09e-01	1.08	-5.9455	2.00e-02	yceD
pncB	0.57566	3.09e-01	-1.08	-5.9458	-1.73e-02	pncB
yieG	0.57566	3.10e-01	1.08	-5.946	3.72e-02	yieG
mhpA	0.57572	3.10e-01	1.08	-5.9467	5.30e-02	mhpA
ygdD	0.57572	3.10e-01	1.08	-5.9467	2.47e-02	ygdD
aaeX	0.5759	3.10e-01	-1.08	-5.9473	-4.50e-02	aaeX
hofC	0.5759	3.10e-01	-1.08	-5.9476	-5.85e-02	hofC
kdpD	0.5762	3.10e-01	1.08	-5.9483	2.60e-02	kdpD
yedV	0.57688	3.11e-01	1.08	-5.9496	3.52e-02	yedV
csgE	0.57688	3.11e-01	-1.08	-5.9499	-6.13e-02	csgE
rhsD	0.57788	3.12e-01	-1.08	-5.9518	-6.84e-02	rhsD
ydiS	0.57788	3.12e-01	-1.08	-5.9518	-2.43e-02	ydiS
kduD	0.57796	3.12e-01	1.08	-5.9523	2.77e-02	kduD
ygiS	0.57835	3.13e-01	1.08	-5.9534	5.76e-02	ygiS
malY	0.57835	3.13e-01	-1.08	-5.9534	-3.10e-02	malY
mobB	0.57888	3.13e-01	-1.08	-5.9544	-2.47e-02	mobB
ftsK	0.57925	3.13e-01	1.07	-5.9552	2.53e-02	ftsK
elbA	0.57931	3.13e-01	1.07	-5.9557	1.52e-02	elbA
yedS	0.57931	3.14e-01	-1.07	-5.9562	-1.56e-02	yedS
htrC	0.57931	3.14e-01	1.07	-5.9563	2.96e-02	htrC
ybiV	0.57997	3.14e-01	1.07	-5.9575	4.52e-02	ybiV
ampE	0.57997	3.14e-01	-1.07	-5.9578	-3.20e-02	ampE
cspF	0.58049	3.15e-01	1.07	-5.9588	2.94e-02	cspF
ynaI	0.58132	3.15e-01	-1.07	-5.9602	-3.40e-02	ynaI
glcC	0.58135	3.15e-01	1.07	-5.9605	2.65e-02	glcC
yeaK	0.58204	3.16e-01	1.07	-5.962	2.69e-02	yeaK
ydcY	0.58204	3.16e-01	-1.07	-5.9622	-1.54e-02	ydcY
dhaK	0.58204	3.16e-01	1.07	-5.9625	1.19e-01	dhaK
alsK	0.58204	3.16e-01	-1.07	-5.9627	-3.66e-02	alsK
argX	0.58254	3.17e-01	1.07	-5.9637	3.93e-02	argX
ygaU	0.58318	3.17e-01	-1.07	-5.9649	-4.65e-02	ygaU
yebG	0.58318	3.17e-01	-1.06	-5.9653	-1.89e-02	yebG
rplK	0.58318	3.18e-01	-1.06	-5.9657	-2.05e-02	rplK
yahA	0.58318	3.18e-01	1.06	-5.9661	1.81e-01	yahA
micF	0.58318	3.18e-01	-1.06	-5.9661	-1.43e-01	micF
ydaF	0.58332	3.18e-01	-1.06	-5.9666	-7.20e-02	ydaF
chpB	0.58341	3.18e-01	-1.06	-5.967	-2.87e-02	chpB
upp	0.58525	3.19e-01	1.06	-5.9701	5.15e-02	upp
ybaL	0.58525	3.20e-01	1.06	-5.9706	2.21e-02	ybaL
ycgI	0.58525	3.20e-01	-1.06	-5.9711	-2.33e-02	ycgI
ldrB	0.58525	3.20e-01	-1.06	-5.9713	-1.76e-02	ldrB
yfjU	0.58525	3.20e-01	-1.06	-5.9716	-5.29e-02	yfjU
murP	0.58525	3.20e-01	-1.06	-5.9717	-2.93e-02	murP
ybeZ	0.58525	3.20e-01	1.06	-5.9717	1.63e-02	ybeZ
yccJ	0.58525	3.20e-01	1.06	-5.972	4.41e-02	yccJ
ybfM	0.58525	3.20e-01	-1.06	-5.9722	-5.50e-02	ybfM
yfgG	0.58539	3.21e-01	1.06	-5.9727	2.06e-02	yfgG
mipA	0.58585	3.21e-01	1.06	-5.9736	2.92e-02	mipA
grxB	0.58671	3.22e-01	-1.06	-5.975	-4.14e-02	grxB
ydcA	0.5868	3.22e-01	1.05	-5.9755	1.52e-02	ydcA
yhhN	0.58757	3.22e-01	-1.05	-5.977	-4.06e-02	yhhN
ydiV	0.58757	3.22e-01	1.05	-5.9771	3.06e-02	ydiV
prmB	0.5879	3.23e-01	1.05	-5.9778	1.58e-02	prmB
ydiF	0.58812	3.23e-01	1.05	-5.9784	6.79e-02	ydiF
yoaF	0.58938	3.24e-01	-1.05	-5.9805	-2.11e-02	yoaF
cpsB	0.58938	3.24e-01	-1.05	-5.9809	-5.45e-02	cpsB
yjfY	0.58938	3.24e-01	-1.05	-5.981	-5.93e-02	yjfY
coaA	0.59103	3.25e-01	1.05	-5.9835	2.43e-02	coaA
yecF	0.59103	3.25e-01	1.05	-5.9837	2.86e-02	yecF
wbbH	0.59133	3.26e-01	1.05	-5.9844	1.42e-02	wbbH
ygaF	0.59137	3.26e-01	-1.05	-5.985	-6.78e-02	ygaF
yigP	0.59137	3.26e-01	1.05	-5.985	2.04e-02	yigP
yebQ	0.59158	3.26e-01	1.04	-5.9856	3.86e-02	yebQ
glnS	0.5917	3.26e-01	-1.04	-5.9861	-1.79e-02	glnS
yhfG	0.5917	3.26e-01	-1.04	-5.9867	-4.76e-02	yhfG
fruB	0.5917	3.27e-01	-1.04	-5.9869	-4.72e-01	fruB
rrlG	0.5917	3.27e-01	1.04	-5.987	1.46e-02	rrlG
chbG	0.59232	3.27e-01	1.04	-5.9881	1.88e-02	chbG
yjgX	0.59271	3.27e-01	1.04	-5.9889	2.06e-02	yjgX
ptsI	0.5929	3.28e-01	1.04	-5.9895	3.83e-02	ptsI
yjhI	0.59348	3.28e-01	-1.04	-5.9908	-1.56e-02	yjhI
gpsA	0.59348	3.28e-01	-1.04	-5.991	-2.00e-02	gpsA
dfp	0.59348	3.28e-01	1.04	-5.9911	2.12e-02	dfp
insB-6	0.59349	3.29e-01	1.04	-5.9914	4.73e-02	insB-6
ypdJ	0.59349	3.29e-01	1.04	-5.9918	7.82e-02	ypdJ
htrG	0.59349	3.29e-01	-1.04	-5.9924	-3.95e-02	htrG
nrdB	0.59349	3.29e-01	1.04	-5.9925	2.25e-02	nrdB
ydbA_1	0.59349	3.29e-01	1.04	-5.9929	2.34e-02	ydbA_1
rpmE	0.59349	3.29e-01	1.04	-5.993	2.58e-02	rpmE
amn	0.59349	3.29e-01	-1.04	-5.9933	-2.52e-02	amn
malX	0.59366	3.30e-01	1.04	-5.9938	4.46e-02	malX
epd	0.59399	3.30e-01	-1.04	-5.9945	-1.13e-01	epd
yebE	0.59645	3.31e-01	-1.03	-5.998	-5.02e-02	yebE
ylbE	0.59645	3.32e-01	-1.03	-5.9985	-2.09e-02	ylbE
pfkA	0.59645	3.32e-01	-1.03	-5.9985	-3.63e-02	pfkA
era	0.59692	3.32e-01	1.03	-5.9997	2.94e-02	era
rfaS	0.59692	3.32e-01	1.03	-5.9997	3.63e-02	rfaS
yjgB	0.59698	3.32e-01	-1.03	-6.0002	-3.64e-02	yjgB
rplE	0.59698	3.33e-01	1.03	-6.0005	1.62e-02	rplE
yjbI	0.59698	3.33e-01	1.03	-6.0009	1.53e-02	yjbI
wrbA	0.59698	3.33e-01	1.03	-6.001	3.00e-02	wrbA
ldrC	0.59826	3.34e-01	-1.03	-6.0029	-1.96e-02	ldrC
mdtE	0.59826	3.34e-01	-1.03	-6.0033	-1.22e-01	mdtE
ydhA	0.59826	3.34e-01	-1.03	-6.0035	-3.83e-02	ydhA
flgD	0.59837	3.34e-01	1.03	-6.0041	4.44e-02	flgD
pflC	0.59837	3.34e-01	-1.03	-6.0043	-3.07e-02	pflC
putA	0.59914	3.35e-01	-1.02	-6.0055	-4.51e-02	putA
yicS	0.59942	3.35e-01	1.02	-6.0068	3.63e-02	yicS
ymfG	0.59942	3.35e-01	1.02	-6.0069	1.43e-02	ymfG
yeiM	0.59942	3.35e-01	-1.02	-6.007	-4.09e-02	yeiM
fimF	0.59942	3.36e-01	1.02	-6.0073	2.86e-02	fimF
yagM	0.59942	3.36e-01	1.02	-6.0074	2.36e-02	yagM
araB	0.59942	3.36e-01	-1.02	-6.0079	-5.05e-02	araB
ydhI	0.59942	3.36e-01	1.02	-6.0082	2.30e-02	ydhI
insF-1	0.59942	3.36e-01	1.02	-6.0083	2.35e-02	insF-1
elaC	0.59947	3.36e-01	-1.02	-6.0086	-2.35e-02	elaC
ynfM	0.59986	3.37e-01	-1.02	-6.0094	-5.48e-02	ynfM
trxB	0.60029	3.37e-01	1.02	-6.0102	2.09e-02	trxB
talB	0.60045	3.37e-01	-1.02	-6.0109	-2.19e-02	talB
mhpR	0.60045	3.37e-01	1.02	-6.011	2.68e-02	mhpR
metR	0.60054	3.38e-01	1.02	-6.0117	5.66e-02	metR
chaB	0.60054	3.38e-01	-1.02	-6.0118	-3.11e-02	chaB
rdlC	0.60054	3.38e-01	1.02	-6.012	2.86e-02	rdlC
umuC	0.60062	3.38e-01	-1.02	-6.0128	-2.42e-02	umuC
ybgH	0.60062	3.38e-01	1.02	-6.0134	3.76e-02	ybgH
yhiD	0.60062	3.38e-01	-1.02	-6.0136	-1.06e-01	yhiD
ynfN	0.60062	3.38e-01	-1.02	-6.0137	-3.34e-02	ynfN
prpR	0.60062	3.38e-01	-1.02	-6.0138	-7.38e-02	prpR
xdhB	0.60062	3.39e-01	1.02	-6.0139	2.56e-02	xdhB
nagA	0.60153	3.39e-01	-1.01	-6.0154	-2.49e-02	nagA
ygcB	0.6029	3.40e-01	-1.01	-6.0176	-3.57e-02	ygcB
ypdI	0.6029	3.40e-01	-1.01	-6.0177	-5.12e-02	ypdI
fdrA	0.60468	3.41e-01	-1.01	-6.0201	-7.20e-02	fdrA
dicA	0.60542	3.42e-01	-1.01	-6.0214	-7.90e-02	dicA
ydcL	0.60578	3.42e-01	-1.01	-6.0221	-2.64e-02	ydcL
acrB	0.6071	3.43e-01	-1.01	-6.024	-2.14e-02	acrB
ycbG	0.60731	3.43e-01	-1.01	-6.0246	-2.02e-02	ycbG
modE	0.60733	3.44e-01	-1.01	-6.025	-1.87e-02	modE
nadE	0.60733	3.44e-01	-1.00	-6.0257	-2.14e-02	nadE
yjiA	0.60733	3.44e-01	1.00	-6.0257	2.41e-02	yjiA
trmU	0.60733	3.44e-01	1.00	-6.0266	2.87e-02	trmU
kdpB	0.60733	3.44e-01	1.00	-6.0268	3.68e-02	kdpB
fliT	0.60733	3.45e-01	1.00	-6.027	2.90e-02	fliT
rrlD	0.60733	3.45e-01	-1.00	-6.0271	-1.31e-02	rrlD
yhaO	0.60733	3.45e-01	-1.00	-6.0274	-2.48e-02	yhaO
ugpB	0.60733	3.45e-01	-1.00	-6.0275	-3.39e-02	ugpB
yjhR	0.60733	3.45e-01	1.00	-6.0275	1.51e-02	yjhR
ybeQ	0.60773	3.45e-01	-1.00	-6.0283	-3.90e-02	ybeQ
metF	0.60843	3.46e-01	1.00	-6.0294	4.52e-02	metF
yadL	0.60857	3.46e-01	1.00	-6.03	2.99e-02	yadL
mviM	0.60857	3.46e-01	-1.00	-6.0302	-2.17e-02	mviM
ypeC	0.60867	3.46e-01	-9.99e-01	-6.0311	-1.62e-02	ypeC
degP	0.60867	3.46e-01	9.99e-01	-6.0311	2.01e-02	degP
yegJ	0.60867	3.46e-01	9.99e-01	-6.0312	4.35e-02	yegJ
yghG	0.60919	3.47e-01	9.98e-01	-6.0321	1.78e-02	yghG
recB	0.60994	3.47e-01	-9.97e-01	-6.0333	-2.93e-02	recB
tyrR	0.61137	3.48e-01	-9.95e-01	-6.0353	-1.95e-02	tyrR
yagY	0.61138	3.49e-01	-9.94e-01	-6.0356	-9.61e-02	yagY
kefF	0.61164	3.49e-01	9.94e-01	-6.0363	3.37e-02	kefF
yfaT	0.61164	3.49e-01	-9.93e-01	-6.037	-5.61e-02	yfaT
yfhH	0.61164	3.49e-01	-9.93e-01	-6.0373	-9.55e-02	yfhH
bioC	0.61164	3.49e-01	-9.92e-01	-6.0374	-4.33e-02	bioC
yehR	0.61164	3.49e-01	9.92e-01	-6.0375	4.52e-02	yehR
ycdZ	0.61164	3.50e-01	-9.92e-01	-6.0378	-2.15e-02	ycdZ
yafL	0.61164	3.50e-01	-9.92e-01	-6.038	-3.60e-02	yafL
aspU	0.61168	3.50e-01	9.91e-01	-6.0383	1.69e-02	aspU
ydcQ	0.61246	3.50e-01	9.90e-01	-6.0397	2.62e-02	ydcQ
def	0.61246	3.51e-01	9.90e-01	-6.0401	2.00e-02	def
yiiR	0.61246	3.51e-01	-9.89e-01	-6.0404	-2.69e-02	yiiR
ilvA	0.61246	3.51e-01	9.89e-01	-6.0404	3.73e-02	ilvA
nudD	0.61258	3.51e-01	-9.89e-01	-6.041	-2.91e-02	nudD
yaeB	0.61258	3.51e-01	9.89e-01	-6.0411	3.28e-02	yaeB
priA	0.61273	3.51e-01	9.88e-01	-6.0417	2.95e-02	priA
ydhS	0.61273	3.52e-01	-9.88e-01	-6.0419	-3.11e-02	ydhS
rrfE	0.61288	3.52e-01	9.87e-01	-6.0424	1.35e-02	rrfE
yejH	0.61288	3.52e-01	9.87e-01	-6.0427	3.02e-02	yejH
ygfK	0.61317	3.52e-01	-9.86e-01	-6.0433	-2.69e-02	ygfK
ygeN	0.61319	3.52e-01	9.86e-01	-6.0436	1.56e-02	ygeN
murF	0.6135	3.53e-01	9.85e-01	-6.0446	2.67e-02	murF
metC	0.6135	3.53e-01	9.85e-01	-6.0446	1.98e-02	metC
ytfR	0.6135	3.53e-01	-9.85e-01	-6.0448	-1.59e-02	ytfR
yibH	0.61389	3.53e-01	-9.84e-01	-6.0456	-3.50e-02	yibH
tfaE	0.61395	3.53e-01	-9.84e-01	-6.046	-4.26e-02	tfaE
yddH	0.61484	3.54e-01	-9.82e-01	-6.0473	-6.69e-02	yddH
argO	0.61511	3.54e-01	-9.82e-01	-6.0479	-1.60e-02	argO
ygfM	0.61523	3.55e-01	9.81e-01	-6.0485	3.76e-02	ygfM
ybfG	0.61523	3.55e-01	9.81e-01	-6.0488	8.26e-02	ybfG
cadC	0.61523	3.55e-01	-9.81e-01	-6.0489	-4.59e-02	cadC
bcsC	0.61582	3.56e-01	-9.79e-01	-6.0502	-2.67e-02	bcsC
ygcS	0.61582	3.56e-01	9.79e-01	-6.0502	6.85e-02	ygcS
setA	0.6162	3.56e-01	9.78e-01	-6.0513	2.54e-02	setA
chiA	0.6162	3.56e-01	9.78e-01	-6.0514	2.84e-02	chiA
frlD	0.6162	3.56e-01	-9.78e-01	-6.0515	-2.26e-02	frlD
nagD	0.6166	3.57e-01	-9.77e-01	-6.0522	-1.81e-02	nagD
hycD	0.61829	3.58e-01	-9.75e-01	-6.0545	-8.96e-02	hycD
btuD	0.6183	3.58e-01	-9.74e-01	-6.0548	-2.40e-02	btuD
hscA	0.61941	3.59e-01	-9.73e-01	-6.0564	-2.38e-02	hscA
rrlC	0.61999	3.59e-01	-9.72e-01	-6.0574	-1.35e-02	rrlC
hemX	0.62	3.59e-01	-9.71e-01	-6.0581	-2.00e-02	hemX
tgt	0.62	3.60e-01	9.71e-01	-6.0585	2.82e-02	tgt
dgsA	0.62	3.60e-01	9.70e-01	-6.0587	3.16e-02	dgsA
yeaV	0.62	3.60e-01	9.70e-01	-6.0587	8.35e-02	yeaV
rplY	0.62	3.60e-01	-9.70e-01	-6.0588	-2.24e-02	rplY
intR	0.62045	3.60e-01	9.69e-01	-6.0603	1.75e-02	intR
yfeU	0.62045	3.61e-01	9.68e-01	-6.0605	4.49e-02	yfeU
fis	0.62045	3.61e-01	9.68e-01	-6.0607	2.57e-02	fis
asnC	0.62045	3.61e-01	-9.68e-01	-6.0608	-1.77e-02	asnC
yijE	0.62045	3.61e-01	-9.68e-01	-6.0608	-2.14e-02	yijE
yjiW	0.62057	3.61e-01	-9.68e-01	-6.0612	-2.62e-02	yjiW
pspE	0.621	3.61e-01	9.67e-01	-6.062	4.23e-02	pspE
fic	0.621	3.61e-01	-9.66e-01	-6.0624	-3.73e-02	fic
atpF	0.621	3.62e-01	-9.66e-01	-6.0625	-3.12e-02	atpF
lolD	0.62218	3.62e-01	-9.64e-01	-6.0643	-2.73e-02	lolD
ilvG_2	0.62218	3.63e-01	9.64e-01	-6.0645	1.02e-01	ilvG_2
tiaE	0.62279	3.63e-01	-9.63e-01	-6.0655	-2.03e-02	tiaE
yfbO	0.6236	3.64e-01	9.62e-01	-6.0667	3.33e-02	yfbO
agaC	0.6236	3.64e-01	9.62e-01	-6.067	5.27e-02	agaC
insL-3	0.62382	3.64e-01	-9.61e-01	-6.0675	-3.67e-02	insL-3
ileY	0.62382	3.64e-01	9.61e-01	-6.0678	3.88e-02	ileY
rho	0.6241	3.64e-01	-9.60e-01	-6.0684	-1.48e-02	rho
yecE	0.62439	3.65e-01	9.59e-01	-6.0693	2.34e-02	yecE
yliJ	0.62439	3.65e-01	-9.59e-01	-6.0693	-2.28e-02	yliJ
rbfA	0.62587	3.66e-01	-9.57e-01	-6.0714	-2.79e-02	rbfA
fadH	0.62587	3.66e-01	9.57e-01	-6.0717	6.91e-02	fadH
yqiG	0.62587	3.66e-01	-9.56e-01	-6.0721	-2.62e-02	yqiG
yfcL	0.62587	3.66e-01	-9.56e-01	-6.0721	-4.78e-02	yfcL
cutA	0.62646	3.67e-01	9.55e-01	-6.0732	1.69e-02	cutA
eutL	0.62646	3.67e-01	-9.55e-01	-6.0734	-3.22e-02	eutL
yfjY	0.62646	3.67e-01	-9.55e-01	-6.0737	-2.86e-02	yfjY
ycbS	0.62654	3.67e-01	9.54e-01	-6.074	2.58e-02	ycbS
ybdH	0.62666	3.68e-01	9.54e-01	-6.0745	3.54e-02	ybdH
wzyE	0.62666	3.68e-01	9.53e-01	-6.0747	2.50e-02	wzyE
murI	0.62718	3.68e-01	9.53e-01	-6.0756	1.85e-02	murI
yecI	0.62727	3.68e-01	9.52e-01	-6.0762	3.92e-02	yecI
plsC	0.62727	3.68e-01	9.52e-01	-6.0762	1.56e-02	plsC
yieH	0.62798	3.69e-01	9.50e-01	-6.0777	1.65e-02	yieH
ybaE	0.62798	3.69e-01	-9.50e-01	-6.0777	-3.65e-02	ybaE
hycH	0.62798	3.69e-01	-9.50e-01	-6.0779	-6.32e-02	hycH
yhiP	0.62906	3.70e-01	-9.48e-01	-6.0795	-3.47e-02	yhiP
yffB	0.62906	3.70e-01	-9.48e-01	-6.0797	-3.11e-02	yffB
intD	0.6291	3.70e-01	-9.48e-01	-6.08	-7.05e-02	intD
yjiE	0.63036	3.71e-01	9.46e-01	-6.082	2.91e-02	yjiE
yebO	0.63036	3.72e-01	9.45e-01	-6.0822	3.35e-02	yebO
evgA	0.63036	3.72e-01	9.45e-01	-6.0827	3.09e-02	evgA
cynT	0.63036	3.72e-01	-9.45e-01	-6.0829	-2.37e-02	cynT
nlpC	0.63036	3.72e-01	9.45e-01	-6.0829	3.05e-02	nlpC
ybfD	0.63036	3.72e-01	-9.44e-01	-6.0831	-1.21e-02	ybfD
menB	0.6306	3.72e-01	9.44e-01	-6.0837	1.63e-02	menB
yejB	0.63063	3.72e-01	9.44e-01	-6.084	2.59e-02	yejB
lomR_1	0.63072	3.73e-01	9.43e-01	-6.0843	1.82e-02	lomR_1
yahH	0.63124	3.73e-01	9.42e-01	-6.0852	5.82e-02	yahH
mdtK	0.63127	3.73e-01	9.42e-01	-6.0855	3.72e-02	mdtK
ydiA	0.63131	3.73e-01	-9.42e-01	-6.0858	-2.88e-02	ydiA
nudE	0.633	3.75e-01	9.39e-01	-6.088	2.50e-02	nudE
ilvG	0.63327	3.75e-01	9.38e-01	-6.0887	1.00e-01	ilvG
ydiO	0.63327	3.75e-01	9.38e-01	-6.0889	4.12e-02	ydiO
mngA	0.63341	3.75e-01	9.38e-01	-6.0893	5.85e-02	mngA
yigI	0.63421	3.76e-01	9.36e-01	-6.0907	4.01e-02	yigI
relA	0.63421	3.76e-01	9.36e-01	-6.0909	1.86e-02	relA
ypfN	0.63421	3.76e-01	-9.35e-01	-6.0916	-2.23e-02	ypfN
ycbR	0.63421	3.76e-01	9.35e-01	-6.0917	8.15e-02	ycbR
ypjJ	0.63421	3.76e-01	9.35e-01	-6.0918	2.72e-02	ypjJ
cysU	0.63421	3.77e-01	9.35e-01	-6.0922	3.41e-02	cysU
metJ	0.63421	3.77e-01	9.35e-01	-6.0922	2.55e-02	metJ
gudX	0.63421	3.77e-01	9.35e-01	-6.0924	2.70e-02	gudX
ypjK	0.63512	3.77e-01	9.33e-01	-6.0937	2.60e-02	ypjK
yaeF	0.63619	3.78e-01	-9.32e-01	-6.0952	-3.70e-02	yaeF
mukE	0.63634	3.78e-01	9.31e-01	-6.0956	1.37e-02	mukE
gatB	0.63659	3.79e-01	9.30e-01	-6.0962	1.30e-02	gatB
yqiJ	0.63664	3.79e-01	-9.30e-01	-6.0965	-3.46e-02	yqiJ
yagV	0.63729	3.80e-01	9.29e-01	-6.0976	3.39e-02	yagV
rhlB	0.63729	3.80e-01	-9.29e-01	-6.0978	-1.29e-02	rhlB
argF	0.63763	3.80e-01	9.28e-01	-6.0984	8.68e-02	argF
yajC	0.63793	3.80e-01	-9.27e-01	-6.099	-1.82e-02	yajC
xapR	0.63822	3.81e-01	-9.26e-01	-6.1	-1.76e-02	xapR
vacJ	0.63822	3.81e-01	9.26e-01	-6.1001	2.20e-02	vacJ
melA	0.63822	3.81e-01	-9.26e-01	-6.1001	-4.35e-02	melA
uraA	0.63861	3.81e-01	9.25e-01	-6.1008	8.46e-02	uraA
yegS	0.63898	3.82e-01	-9.25e-01	-6.1016	-1.42e-02	yegS
yfbF	0.63898	3.82e-01	-9.24e-01	-6.1018	-2.16e-02	yfbF
yadG	0.63909	3.82e-01	-9.24e-01	-6.1023	-1.85e-02	yadG
yhcD	0.63909	3.82e-01	-9.24e-01	-6.1025	-5.85e-02	yhcD
yfdT	0.63919	3.82e-01	-9.23e-01	-6.1028	-2.02e-02	yfdT
yaeH	0.64058	3.83e-01	-9.21e-01	-6.1047	-3.61e-02	yaeH
gudD	0.64105	3.84e-01	9.20e-01	-6.1054	1.27e-02	gudD
pal	0.64108	3.84e-01	9.20e-01	-6.1057	1.96e-02	pal
atoS	0.64115	3.84e-01	9.20e-01	-6.1062	4.16e-02	atoS
sfmC	0.64115	3.84e-01	-9.19e-01	-6.1064	-4.86e-02	sfmC
ydcN	0.64115	3.84e-01	9.19e-01	-6.1068	2.63e-02	ydcN
djlB	0.64115	3.85e-01	-9.19e-01	-6.107	-2.90e-02	djlB
ulaF	0.64115	3.85e-01	9.18e-01	-6.1072	2.70e-02	ulaF
allB	0.64118	3.85e-01	9.18e-01	-6.1074	3.24e-02	allB
yaiP	0.64165	3.85e-01	9.17e-01	-6.1082	1.15e-02	yaiP
exo	0.64189	3.86e-01	9.17e-01	-6.1088	1.94e-02	exo
thiG	0.64195	3.86e-01	-9.16e-01	-6.1092	-2.98e-02	thiG
yjjI	0.64195	3.86e-01	-9.16e-01	-6.1094	-3.66e-02	yjjI
dapF	0.6421	3.86e-01	-9.16e-01	-6.1098	-1.94e-02	dapF
pgpB	0.64221	3.86e-01	-9.15e-01	-6.1106	-1.35e-02	pgpB
