ID	logFC	Gene.symbol
229365_at	0.12954222	PPP1R3F
234047_at	-0.1498801	
219346_at	0.17650266	LRFN3
206951_at	-0.20072116	HIST1H4E
243835_at	0.18709717	ZDHHC21
229112_at	0.13339162	SIRT5
222124_at	0.17865456	HIF3A
224039_at	-0.13896453	FAM186B
214220_s_at	0.23711996	ALMS1
243498_at	0.18491132	
221512_at	-0.11876095	TMEM222
1554533_at	0.15105506	C2
243859_at	-0.14127539	
204068_at	0.19326177	STK3
229927_at	0.21392204	LEMD1
221319_at	-0.14966956	PCDHB8
233843_at	-0.18741031	ZBTB12
1555141_a_at	0.15053447	LOC101929373///SLC9B1
230859_at	0.1350046	
1566142_at	-0.18909843	
233680_at	-0.11140556	LOC101929454
228215_at	-0.16974948	ADD3-AS1
1563536_at	0.12374299	
232944_at	-0.40416925	
1558373_s_at	0.15912651	CNOT7
232743_at	0.17573666	
202987_at	-0.22533522	TRAF3IP2
238504_at	-0.23832827	SDHAF4
231880_at	-0.22657648	STRIP2
203520_s_at	-0.13071918	ZNF318
228835_at	-0.1705393	
1555322_at	-0.13101746	PP2672
239980_at	0.18516598	
206405_x_at	0.26751979	USP32///USP6
215969_at	-0.15395841	
228841_at	0.17577839	LYRM7
243773_at	-0.17041118	PDCD2
211501_s_at	-0.14204878	EIF3B
226074_at	0.13095376	PPM1M
239243_at	0.24092099	ZNF638-IT1///ZNF638
216855_s_at	-0.1535318	HNRNPU
226791_at	-0.16891735	KIFC2
200640_at	-0.1223494	YWHAZ
236702_at	0.15166692	RTFDC1
208112_x_at	0.16937608	EHD1
234020_x_at	-0.14079822	
219964_at	-0.13731239	ST7L
233246_at	0.16911366	
224307_x_at	-0.16275579	MAGI3
204030_s_at	0.2222661	IQCJ-SCHIP1///SCHIP1
218655_s_at	0.11053548	CWC25
238382_x_at	-0.13310817	
1555695_a_at	-0.16302355	CLRN1
1554608_at	-0.22841027	TGOLN2
235128_at	0.15525039	SYNPO
207586_at	0.13761834	SHH
226827_at	-0.13051982	TMEM165
205435_s_at	0.13708791	AAK1
202126_at	-0.12776939	PRPF4B
208061_at	-0.12701899	
1557669_at	-0.18796985	LOC100132005
231203_at	0.16935865	LOC100505478
1556420_s_at	0.28446021	YPEL2
237946_at	0.14142797	
219490_s_at	-0.14811952	DCLRE1B
1563531_at	-0.17178408	
223659_at	-0.20828563	TMPRSS13
238798_at	-0.13209436	TAPT1
208411_x_at	0.12330803	PPEF2
235836_at	-0.23757699	MXRA7
205139_s_at	0.21275432	UST
230686_s_at	-0.16500171	SLC13A3
200016_x_at	-0.12006811	HNRNPA1P10///HNRNPA1
215591_at	-0.217668	SATB2
1569208_a_at	-0.16911324	
39966_at	-0.13422348	CSPG5
229710_at	-0.17179937	ERCC6L2
1560738_at	-0.23288943	
215964_at	-0.1252052	
206175_x_at	0.1615566	ZNF222
1566848_x_at	0.13890219	
240783_at	-0.13304527	
215590_x_at	0.10770891	ACVR2B-AS1
229039_at	0.15745792	SYN2
240330_at	-0.13711698	
207237_at	0.13792123	KCNA3
233671_at	-0.15709453	ZNF91
221282_x_at	-0.12400268	RUNX2
244775_at	0.10704059	
211374_x_at	0.14031594	
1558000_at	0.14978607	ARID5B
1561856_at	0.12258342	
211053_at	-0.17609526	KCNG1
216509_x_at	0.13692098	MLLT10
236923_x_at	0.16030002	
214257_s_at	-0.2119532	SEC22B
214467_at	0.25232283	GPR65
1566688_at	-0.16425438	
238243_at	0.16246262	
201723_s_at	0.14763245	GALNT1
226417_at	0.16013993	RHOB
234646_at	-0.15390252	
217622_at	0.14332564	RHBDD3
244269_at	-0.16703449	LOC102723526
240805_at	-0.18870855	
200607_s_at	-0.19162333	RAD21
238187_at	0.11427215	C2orf57
234394_at	-0.33583886	ZNF124
221146_at	0.21335648	
205697_at	0.12859046	SCGN
1568488_at	-0.16988747	
237024_at	0.13054783	LSMEM2
237577_at	0.28149984	PCNP
233528_s_at	-0.19285339	GATSL3
231238_at	-0.15820414	
1558804_at	0.12808896	
229279_at	-0.12932558	
228114_x_at	-0.12820303	METTL26
224011_at	0.12641105	
231464_at	-0.1397446	
1569601_at	-0.22053645	
238884_at	-0.17220069	
220354_at	-0.15333157	MCF2L-AS1
226445_s_at	-0.11292595	TRIM41
215658_at	0.13318571	LINC00675
221542_s_at	0.14706806	ERLIN2
213406_at	-0.23107772	WSB1
202127_at	0.23431672	PRPF4B
209268_at	-0.12208174	VPS45
233432_at	0.14761466	LINC00598
221495_s_at	-0.12799243	TCF25
201182_s_at	-0.12349638	CHD4
206368_at	0.10903309	CPLX2
222175_s_at	0.1225432	MED15
239419_at	0.11711402	PTPRA
228817_at	0.1517386	ALG9
232527_at	0.19790721	PSMD6-AS2
215836_s_at	0.17955935	PCDHGA1///PCDHGA2///PCDHGA3///PCDHGA4///PCDHGA5///PCDHGA6///PCDHGA7///PCDHGA9///PCDHGA10///PCDHGA11///PCDHGB1///PCDHGB2///PCDHGB3///PCDHGB5///PCDHGB6///PCDHGB7///PCDHGC4///PCDHGC5///PCDHGA12///PCDHGA8///PCDHGB4///PCDHGC3
227479_at	-0.15620151	
1560735_s_at	-0.149653	LOC102723532///LOC101927079///LOC727924///OR4N4
1566515_at	0.15741954	CWF19L2
234513_at	-0.18574261	ELOVL3
224242_at	-0.19178692	GALP
205831_at	0.40107096	CD2
1556672_a_at	0.23061325	RBM6
244607_at	0.13495609	
236530_at	-0.15029141	HS1BP3
203366_at	-0.12771217	POLG
1553611_s_at	-0.1182199	KLHL35
239482_x_at	0.22652848	ZNF708
221058_s_at	-0.1584781	CKLF
233250_x_at	-0.13882294	FOXRED2
1556978_a_at	-0.15855358	TAF8
222983_s_at	-0.16313784	PAIP2
204716_at	0.15893212	CCDC6
226829_at	-0.18521232	AFAP1L2
217612_at	-0.19321115	TIMM50
205038_at	0.19699739	IKZF1
205673_s_at	-0.14165653	ASB9
213729_at	-0.15803431	PRPF40A
206666_at	0.388226	GZMK
243630_at	-0.13942456	NDUFB1
209223_at	-0.1617233	NDUFA2
220762_s_at	-0.12791933	GNB1L
1564407_a_at	0.13882683	
1554142_at	-0.16762426	SUGT1P3
1555798_at	0.11788948	LOC400692
226502_at	-0.13538991	ELMOD2
239504_at	0.28216784	
1557017_at	0.13916202	LOC101929607
234758_at	0.19224486	
241816_at	0.22010005	
238002_at	0.22012494	GOLIM4
238055_at	0.11693215	LOC100505549
207821_s_at	0.13255605	PTK2
243855_at	0.20303513	
1555348_at	0.13329283	TFAP2E
219991_at	-0.11931316	SLC2A9
1560905_at	0.13520294	
214192_at	0.18800035	NUP88
206984_s_at	-0.15084659	RIT2
206686_at	-0.20035342	PDK1
1562747_at	-0.14861096	LOC101928101
209588_at	0.12288352	EPHB2
217000_at	-0.14155289	
1566209_at	-0.15019521	
227051_at	-0.34272934	BACE2
220664_at	-0.19363562	SPRR2C
235328_at	0.16310945	PLXNC1
221061_at	0.17045106	PKD2L1
234413_at	-0.13059754	
239224_at	-0.13534024	FBXL20
1566695_at	-0.11606126	
230375_at	0.28050172	PNISR
216349_at	-0.14420392	DGKH
203277_at	-0.12554311	DFFA
225410_at	-0.10765919	COA5
235965_at	-0.22747056	BHLHA15
244709_at	-0.16278927	AMER3
1555092_at	-0.18088439	VASH2
1557285_at	0.57446427	AREG
203493_s_at	0.17285556	CEP57
227885_at	0.15036423	FOXN3-AS1
237058_x_at	0.2140372	SLC6A13
232619_at	-0.17994806	ACTL10
224159_x_at	-0.13842951	TRIM4
238907_at	-0.26403277	ZNF780A
1565657_at	0.17150262	CMTM6
200707_at	-0.11998645	PRKCSH
223828_s_at	0.31078824	LGALS12
1562825_at	0.15181625	LOC105372404
205740_s_at	-0.12194644	RBM42
236908_at	-0.22433936	
241898_at	0.18275171	LIPH
207814_at	-0.12580035	DEFA6
240632_at	0.18065035	
205242_at	-0.2902847	CXCL13
210467_x_at	-0.1471774	MAGEA12
238301_at	0.16616594	
1558135_at	0.15271758	TAF11
231611_at	-0.13396002	
1560562_a_at	0.16675641	ZNF677
220402_at	-0.10876684	TP53AIP1
220501_at	-0.15743523	ACTL7A
226122_at	-0.20135646	PLEKHG1
237641_at	0.16430208	
1560960_at	0.15221508	
1559971_at	0.22342529	BSDC1
213180_s_at	-0.11002416	GOSR2
212829_at	-0.17510852	PIP4K2A
1554266_at	-0.16655991	
238811_at	0.16864252	ATP11B
221546_at	-0.14479733	PRPF18
1568656_at	0.23174281	LOC105375677
228718_at	0.19171915	ZNF44
1561076_at	-0.16451913	LOC105372969
1556622_s_at	-0.12230216	
211342_x_at	0.1255796	MED12
1556329_a_at	-0.20311927	PCDH10
225879_at	-0.12493158	TSEN54
238199_x_at	-0.13179809	LOC101929612///COX3
231593_at	0.1398136	
232965_at	0.13161391	LOC400684
240642_at	0.17753901	ZMYM2
224354_at	0.13545678	
1552652_at	0.14722049	HPS4
236807_at	-0.11275513	
1565873_at	0.16430855	
210355_at	-0.31640041	PTHLH
1562638_at	-0.14484885	LOC339874
242382_at	-0.17007078	LOC100506207
228306_at	0.14558291	CNIH4
216351_x_at	-0.15438739	DAZ4///DAZ2///DAZ3///DAZ1
240126_x_at	-0.14588041	
234801_s_at	0.16443714	ACSS1
215213_at	-0.15379351	NUP54
241049_at	-0.12918741	LOC100996542
222826_at	-0.14213549	BLOC1S6
224422_x_at	-0.17788793	PMCHL2
1557338_x_at	-0.1180745	SUCLG2-AS1
213189_at	0.19430015	MINA
244591_x_at	0.12920114	RNF207
231705_at	-0.15112507	RIDA
222339_x_at	0.23125689	
1557439_at	-0.13405649	ARHGEF7-AS2
221220_s_at	-0.23298827	SCYL2
202797_at	-0.1614445	SACM1L
202360_at	-0.11054338	MAML1
208825_x_at	0.08343566	SNORD42A///RPL23A
203499_at	-0.27799353	EPHA2
240377_at	0.14121773	LOC101930075///LOC101930013///NPIPA8///NPIPA7///NPIPA5///NPIPA2///NPIPA3///PKD1P1///NPIPA1///PKD1
240928_at	0.22695632	FCF1
240482_at	0.15867168	
1552553_a_at	0.14073661	NLRC4
238377_s_at	-0.12043398	LINC01607
212001_at	-0.13305034	SUGP2
237139_at	-0.16449248	PDE9A
215108_x_at	-0.27467221	TOX3
206068_s_at	-0.32064488	ACADL
234168_at	-0.1734226	TAF15
215578_at	-0.25653972	
1567238_at	0.1571039	OR2L2
243492_at	-0.26116395	THEM4
243513_at	0.13517071	
229664_at	0.214409	MAPK8
203689_s_at	0.15052471	FMR1
1569348_at	-0.24327159	LOC102725451///TPTEP1
1565912_at	0.12148838	ACTG1P17
228929_at	0.16473024	DNASE1
227794_at	-0.12325508	LOC100287413///GLYATL1
1555801_s_at	0.26424556	ZNF385B
223162_s_at	-0.14666261	KIAA1147
217894_at	0.21399808	KCTD3
220624_s_at	-0.17401979	ELF5
1558248_at	0.11841303	GOLM1
242797_x_at	-0.19242557	
215852_x_at	-0.15419126	SOGA1
236000_s_at	0.24658551	
244324_at	-0.18457872	C18orf54
1560982_at	-0.196942	
222397_at	-0.1213654	EFTUD2
226427_s_at	0.13109657	B3GALT6
231090_s_at	-0.15989556	ARID2
202757_at	-0.11251325	NELFB
200834_s_at	0.14055949	RPS21
211566_x_at	0.10368421	BRE
222224_at	0.1178582	NACA2
235719_at	0.18029362	CYP4V2
1570274_at	-0.10693294	PRSS55
1554171_at	0.14578294	ZMYM3
215018_at	-0.17626992	CEP295
1553398_at	-0.11159467	
210738_s_at	0.13462838	SLC4A4
222112_at	-0.16696809	EPS15L1
234096_at	-0.17500544	PACRG
209756_s_at	0.1288029	MYCN
232212_at	-0.17259725	PLEKHA8
233078_at	0.19879335	API5
202815_s_at	-0.14557569	HEXIM1
1566427_at	-0.18573124	LOC102725420///LOC102724888
235252_at	0.33732758	KSR1
239794_at	-0.15498014	
222375_at	0.18578897	
243516_at	-0.12888105	
222794_x_at	-0.15770381	MTPAP
236553_at	0.15177779	LOC100507520
233374_at	-0.22813165	
212443_at	-0.1642246	NBEAL2
224908_s_at	-0.15915819	TTL
209437_s_at	0.39286886	SPON1
222407_s_at	0.22092741	ZNF106
232263_at	-0.1206786	SLC6A15
238914_at	0.17235226	DCC
219218_at	0.1298472	BAHCC1
207642_at	0.11863271	HCRT
221943_x_at	0.13944814	RPL38
200885_at	-0.17752107	RHOC
213152_s_at	0.14863441	SRSF8
1552998_at	-0.11427964	DEFB125
1555217_at	0.1656836	UBE2W
205576_at	0.27140857	SERPIND1
239259_at	-0.14618273	ZNF557
205443_at	0.2038604	SNAPC1
224612_s_at	-0.14151662	DNAJC5
243152_at	-0.13701375	COPS8
219061_s_at	-0.18879513	LAGE3
232938_at	-0.14323798	SFMBT2
1566178_x_at	-0.15793674	
227234_at	-0.19115632	IPO5P1
204235_s_at	-0.26638663	GULP1
201735_s_at	-0.15738871	CLCN3
1553750_a_at	0.23882333	FAM76B
244363_at	-0.14997346	ROS1
238440_at	-0.12759292	CLYBL
1554660_a_at	-0.16961142	CNST
234528_at	-0.1242445	
217613_at	0.29914979	TMEM144
220780_at	-0.17307503	PLA2G3
216239_at	0.16625303	BBS9
241983_at	0.10648327	PTPN2
87100_at	-0.18362759	ABHD2
241475_at	0.12509424	BREA2
1563016_at	-0.19508759	
230247_at	0.1591425	
243375_at	0.16647905	
233408_at	0.14542015	PREX2
208992_s_at	0.21130411	STAT3
1558247_s_at	-0.12586478	NTN5
232061_at	-0.13800602	SDK2
1564131_a_at	-0.15522333	BSN-AS2
221186_at	-0.12837403	LOC100131532
241822_at	0.12180971	SIX5
200936_at	0.1297166	RPL8
208068_x_at	-0.13435494	GH2///GH1///CSHL1///CSH1
217415_at	-0.1465929	POLR2A
241183_at	0.124317	
234355_s_at	-0.10955358	DISP3
235770_at	-0.16522747	MASP1
204990_s_at	-0.18178445	ITGB4
239470_at	-0.14447999	C15orf56
209282_at	-0.12972142	PRKD2
232842_at	-0.1371102	DOCK8
229253_at	0.20921785	THEM4
205631_at	0.13553128	KIAA0586
210203_at	0.28632427	CNOT4
235704_at	0.24817207	LOC102723983///DAZAP2
227170_at	0.11012463	ZNF316
1565577_s_at	0.16671194	
223724_s_at	-0.16072344	STAG3L2///STAG3L3///STAG3L1
203977_at	0.11381804	TAZ
220351_at	0.18103874	ACKR4
1563224_at	-0.1280033	
212641_at	0.19613472	HIVEP2
206324_s_at	-0.16817061	DAPK2
230860_at	-0.2146804	CEP19
1555294_a_at	0.20270111	ERC1
1569121_at	-0.12773609	SLC25A24
231176_at	0.17981643	PRR19
1558844_at	-0.19211898	LOC100506127
226215_s_at	-0.17729616	KDM2B
206566_at	-0.16320502	SLC7A1
1563022_at	-0.16497455	CCDC160
243424_at	-0.1827144	
1566693_at	-0.15382164	
203611_at	-0.11180361	TERF2
239226_at	-0.13592843	
1556639_at	-0.23944532	LOC100996455
224571_at	-0.28538048	IRF2BP2
234613_at	0.12652892	
203312_x_at	-0.21330172	ARF6
218646_at	0.11604833	HPF1
225805_at	0.15215051	HNRNPU
1553021_s_at	-0.1318244	BICD2
215286_s_at	-0.13988208	PHTF2
224865_at	0.19602844	FAR1
239498_at	0.13820687	
242218_at	-0.17293192	PPARD
235608_at	0.15293341	FBXL3
232578_at	0.14264257	CLDN18
235607_at	0.23044009	LOC101928963
216058_s_at	-0.13335448	CYP2C19
244360_at	-0.13045397	FBXL17
203400_s_at	0.13416253	TF
1553910_at	0.14593398	NBPF4
1563136_at	0.16767658	
236201_at	0.2366292	SPTLC3
229523_at	0.20777604	TMEM200C
209739_s_at	-0.17668952	PNPLA4
243705_at	0.13989946	DDHD1
228393_s_at	0.26318497	ZNF302
217888_s_at	-0.12395134	ARFGAP1
219678_x_at	0.13646829	DCLRE1C
233800_at	0.14896007	
204772_s_at	-0.15317829	TTF1
227469_at	-0.1211818	
241206_at	-0.16303042	
202868_s_at	-0.17998006	POP4
218409_s_at	0.28131838	DNAJC1
1560271_at	-0.18509456	
223892_s_at	0.11991917	TMBIM4
211096_at	-0.14877514	PBX2
236761_at	-0.39164683	LHFPL3
244880_at	-0.16578183	
238699_s_at	0.1606361	CASK
221707_s_at	-0.15176104	VPS53
39549_at	0.41514144	NPAS2
240297_at	-0.28474852	
1561085_at	-0.1291672	LOC153910
1563112_at	-0.13188744	
1555819_s_at	-0.13711013	SAMD14
211839_s_at	0.1336983	CSF1
231997_at	-0.14010253	TBCEL
215631_s_at	-0.13902257	BRMS1
214634_at	-0.11736425	HIST1H4I
223933_at	-0.15123296	KIF5A
209937_at	0.12496084	TM4SF4
206426_at	-0.10627554	MLANA
239357_at	0.14944711	ATP2B2
214926_at	-0.14694305	SPTAN1
223731_at	0.17388916	MYCBPAP
222801_s_at	-0.18566166	STAG3L4
208222_at	-0.14492887	ACVR1B
242016_at	0.15382053	
233817_at	0.16749651	
1561187_at	-0.16892707	
236249_at	-0.3026004	IKBIP
227789_at	-0.14573157	
224952_at	0.15690137	TANC2
1562099_at	0.10670708	
224852_at	0.17819884	TTC17
217098_s_at	0.10142121	ZSCAN12
214731_at	-0.18192842	
229413_s_at	-0.23631902	PCGF3
203419_at	-0.1335223	KMT2B
240154_at	0.21828432	
203965_at	0.13450481	USP20
216505_x_at	-0.11215433	
243186_at	-0.12067069	FAM117B
1552743_at	-0.12094668	MCF2L
205319_at	0.12698538	PSCA
226712_at	0.14548396	SSR1
229263_at	0.12855093	IL17RD
209957_s_at	0.15674035	NPPA
232468_at	0.14954215	
209143_s_at	-0.14318044	CLNS1A
232033_at	0.17478583	USP37
239864_at	-0.17990465	LOC100130175///BBIP1
205241_at	-0.28710431	SCO2
208505_s_at	-0.13764009	FUT2
241716_at	0.68659617	HSPD1
231627_at	-0.12185472	LINC00919
237391_at	-0.13605081	
239519_at	-0.31957495	
228111_s_at	-0.13589121	DNAH1
1563874_at	-0.20827392	WDR72
223446_s_at	0.13598386	DTNBP1
205043_at	-0.26319408	CFTR
201923_at	-0.30303164	PRDX4
1556800_a_at	0.20313348	
231995_at	-0.19394281	CAAP1
204164_at	-0.13262552	SIPA1
242517_at	-0.14877852	KISS1R
220350_at	0.19195608	ZNF235
203110_at	0.16673186	PTK2B
218001_at	-0.25103113	MRPS2
1555668_a_at	-0.11496766	PARK2
235514_at	0.12745443	ASPRV1
228337_at	0.21226701	PWWP2A
216794_at	-0.1464166	LOC100289518
206279_at	-0.13861321	PRKY
236005_at	0.1817931	
213656_s_at	0.15660176	KLC1
204133_at	-0.16879974	RRP9
1570627_at	0.14035263	TCEB3
234305_s_at	-0.13109167	GSDMC
230797_s_at	-0.11729346	LINC01191
201249_at	-0.22418767	SLC2A1
224284_x_at	-0.1382998	FKSG49
241675_s_at	-0.11024275	
239599_at	-0.14033857	
229697_at	0.15583555	HIRIP3
225371_at	-0.13608932	GLE1
235612_at	0.20418108	PRPF38A
1553579_a_at	0.10687805	SPAG11A///SPAG11B
207991_x_at	-0.12331416	ACRV1
1554951_at	-0.13786302	
239475_at	-0.17766707	PXYLP1
1566700_at	-0.15699397	VRK3
227733_at	-0.14450303	TMEM63C
221794_at	-0.12409625	DOCK6
201520_s_at	-0.19108066	GRSF1
239233_at	0.18194347	CCDC88A
1556065_at	-0.1069872	CDPF1
244754_at	-0.16390308	
233258_at	0.11678486	
234013_at	0.09641698	YME1L1
222872_x_at	0.45727339	NABP1
1562742_at	0.15404649	LINC01362
1561531_at	-0.13519192	PLCH1-AS1
234812_at	-0.14005343	LRRC59
228996_at	-0.32850803	RC3H1
236180_at	0.15023827	
213128_s_at	-0.15236218	UBE3A
209073_s_at	0.11349671	LOC101930388///LOC101928143///NUMB
1563080_at	0.20352485	
203945_at	-0.25981089	ARG2
1552853_at	0.18234571	VWA5B1
1563635_at	0.18368903	ITGA9-AS1
239206_at	-0.12164436	CR1L
210184_at	0.24556846	ITGAX
1568882_at	-0.16088965	LRTOMT
207674_at	-0.13566181	FCAR
1561204_at	-0.1404422	
1552965_a_at	-0.14081206	B3GNT7
238471_at	-0.17446206	
213340_s_at	0.145605	TP73-AS1
234115_s_at	-0.16132872	ZNRD1
228147_at	0.1933801	SEPT7P2
231331_at	0.10802497	
240396_at	-0.19790496	
238373_at	0.1335566	H1FNT
243959_at	-0.16244338	
220339_s_at	0.11921565	TPSG1
244802_at	-0.19469792	
220594_at	-0.17373599	OGT
238507_at	0.13514107	
1562631_at	0.15734018	TEX26-AS1
237901_at	0.17225555	
1559864_at	0.13558011	LCN6
235684_s_at	0.18231601	SESN3
234189_at	0.17631541	
1555286_at	-0.12321332	CDKL1
242841_at	-0.11286908	LOC100505570
1561306_s_at	-0.13678819	LOC101930630///STRC
236789_at	0.12905295	MAPT-AS1
209887_at	-0.12983939	SMAD6
241083_at	0.14572703	
217658_at	0.17713851	THAP3
238606_at	-0.16590864	ZNF747
240618_at	-0.11778594	
242327_x_at	-0.11619514	
204529_s_at	-0.3048376	TOX
244037_at	0.20315176	LOC100507520
203627_at	-0.1725699	IGF1R
1555171_at	0.13809169	ST3GAL3
219943_s_at	-0.09683575	USP46
1561718_at	-0.14259036	
1558743_at	-0.12185073	ZNF620
232742_at	-0.14949961	
234345_at	-0.1172298	LOC101929683
1570243_at	-0.12029643	
229706_at	-0.30377201	TCERG1
204475_at	0.67648215	MMP1
231056_at	-0.13223893	
1562789_at	-0.12565696	ZNF229
226442_at	0.1524778	ABTB1
236538_at	-0.15936293	GRIA2
223447_at	-0.17425104	REG4
220218_at	-0.14508808	SPATA6L
221309_at	0.12744591	RBM17
201008_s_at	-0.25987759	TXNIP
240430_at	0.16902267	KCMF1
202497_x_at	0.44583295	SLC2A3
1570516_s_at	-0.14819613	OR51B5
242886_at	-0.1574207	
214928_at	0.16683309	OBSL1
205200_at	0.55649858	EXOSC7///CLEC3B
224535_s_at	-0.17449209	MRPL57
1554423_a_at	-0.1296945	FBXO7
208384_s_at	-0.11428138	MID2
1569141_a_at	-0.16336508	PPARGC1A
242125_at	0.12973618	
208132_x_at	-0.09729987	PRRC2A
225876_at	0.15612496	NIPAL3
243944_at	-0.12076723	
242188_at	0.24511957	
209554_at	0.10487094	CD36
238182_at	-0.15909077	
235399_at	-0.13989127	ERCC2
1568649_at	-0.14381333	LOC105370943
236670_s_at	-0.12116997	
1554322_a_at	-0.12136278	HDAC4
202625_at	0.23282515	LYN
1405_i_at	0.50692722	CCL5
223698_at	-0.17285274	SLC25A36
242015_x_at	-0.125605	APEH
214346_at	0.15268275	C1QL1
203661_s_at	0.28053516	TMOD1
222372_at	-0.23920379	MAGI1
235695_at	-0.10804739	INPP4A
236394_at	-0.13347962	A2MP1
229986_at	0.12327959	ZNF717
1556284_at	-0.16089385	PPA2
1555781_at	-0.20096976	PQLC2
200646_s_at	0.13808933	NUCB1
202275_at	-0.22565824	G6PD
229099_at	-0.1483591	UQCC3
217313_at	0.09600654	
223796_at	-0.29044315	CNTNAP3B///CNTNAP3P2///CNTNAP3
216199_s_at	-0.23832333	MAP3K4
216174_at	-0.21476199	HCRP1
1556663_s_at	-0.16397164	LOC100506142
241602_at	-0.1020684	ZNF582
202931_x_at	-0.22139402	BIN1
210537_s_at	-0.18561629	TADA2A
1557203_at	-0.11396128	PABPC1L2B///PABPC1L2A
226323_at	0.14783773	ZNF830
242068_at	-0.13661569	
206384_at	-0.1464528	CACNG3
216767_at	-0.11332222	
240843_at	0.23466199	
242896_at	-0.1176591	
237360_at	-0.14199288	ACTRT2
235065_at	-0.2453684	GAREM1
240433_x_at	-0.13671002	CADM2
222201_s_at	-0.17383183	CASP8AP2
203061_s_at	0.10012967	MDC1
240551_at	-0.1933049	ZBTB45
214568_at	0.16013505	TPSD1
210796_x_at	-0.15049944	SIGLEC6
219476_at	-0.26468491	C1orf116
1565242_at	0.17021126	TNXB
1562066_at	-0.14026095	TRIQK
1553541_at	-0.13363784	LMX1A
228705_at	-0.18468871	CAPN12
224957_at	-0.14182089	RPL17-C18orf32///C18orf32///RPL17
234727_at	0.20284103	DNAH7
214858_at	0.11777088	PP14571
206928_at	-0.22982143	ZNF124
211700_s_at	0.20252045	TRO
234262_at	0.22707126	
233478_at	-0.16899592	
220082_at	-0.13049901	PPP1R14D
223311_s_at	-0.12226403	MTA3
227306_at	-0.18772046	ACER2
221332_at	-0.13243914	BMP15
213960_at	-0.21764189	NTRK3
219500_at	-0.1527716	CLCF1
231677_at	-0.1022758	LOC105377924
226020_s_at	0.18773702	OMA1///DAB1
1561434_at	-0.12080957	
222744_s_at	-0.14576362	TMLHE
210068_s_at	0.17605373	AQP4
210762_s_at	-0.2851119	DLC1
231167_at	0.18146297	
237666_at	-0.11089793	XRRA1
205452_at	-0.16850995	PIGB
210201_x_at	-0.2349998	BIN1
224841_x_at	0.2301461	SNORD77///SNORD76///SNORD74///GAS5///SNORD44///SNORD47///SNORD80///SNORD79///SNORD81
230575_at	0.14242689	MSRB2
212120_at	0.21212614	RHOQ
223331_s_at	-0.1572875	DDX20
242668_x_at	-0.14875701	SUN5
214362_at	-0.14036677	RGS12
221380_at	-0.1770661	
235106_at	0.17517318	MAML2
234609_at	-0.15184338	
228209_at	0.23790697	LHX4-AS1
213722_at	-0.1190975	SOX2
1562895_at	0.16197129	LOC101927502
216279_at	0.14142594	ZNF460
235433_at	-0.13942417	APOOL
233306_at	0.20844441	
217146_at	-0.1278602	JRK
223045_at	0.12885238	EGLN1
206768_at	-0.15593098	RPL3L
219175_s_at	0.11541699	SLC41A3
1552472_a_at	0.18889586	ACAP2
214901_at	-0.12195904	ZNF8
209978_s_at	-0.11634482	PLG///LPA
210835_s_at	-0.15899906	CTBP2
202493_x_at	-0.18190038	GH1///CSHL1///CSH1
215026_x_at	0.14868223	SCNN1A
214732_at	-0.20169599	SP1
234482_at	-0.16220434	
229017_s_at	0.17375151	DSTYK
230839_at	0.1566113	PRMT8
1556134_a_at	-0.13318562	B3GNT5
210598_at	-0.18664935	
205796_at	0.20537976	TCP11L1
1565149_at	0.25777397	DYNC2H1
1560432_at	-0.15882118	CLRN1-AS1
1561860_at	-0.12297949	
1555865_at	0.17549634	TOLLIP-AS1
1553835_a_at	0.15354034	COL6A5
237605_at	-0.1266766	
223139_s_at	-0.13034728	DHX36
219858_s_at	-0.26151881	MFSD6
219408_at	-0.16270353	PRMT7
239677_at	-0.13599786	
1558630_at	-0.12884915	DLGAP4-AS1
1562856_at	0.12739055	
238457_at	-0.18853682	DGKE
227126_at	0.30491246	PTPRG
216983_s_at	0.15755373	ZNF224
224853_at	0.21316862	SLAIN2
236489_at	-0.31171881	ADGRF1
224073_at	-0.17333936	LINC01521
215662_at	-0.13786829	
217003_s_at	-0.12626531	ADAM5
242328_at	0.13768228	RAB3C
234437_at	-0.14946526	
202591_s_at	-0.17474985	SSBP1
237542_at	0.14832363	
206304_at	0.1868715	MYBPH
204691_x_at	-0.12093772	PLA2G6
237670_at	-0.15570425	MIR663AHG
1553311_at	-0.15309324	C20orf197
235618_at	-0.11105942	ZNF507
201237_at	-0.20224986	CAPZA2
220900_at	0.12066821	
215011_at	-0.26943689	SNHG3///SNORA73A
234815_at	0.12808377	MYCN
1554049_s_at	-0.22393862	DCAF8
221461_at	0.16246757	TAS2R9
1562753_at	-0.13499099	ST6GALNAC5
228499_at	-0.12274154	PFKFB4
238870_at	-0.18699592	KCNK9
1553901_x_at	-0.14437537	ZNF486
1556170_at	-0.0960489	LOC101927516
1559258_a_at	-0.10202539	CT83
220787_at	-0.12690525	
239041_at	-0.16772693	HIST1H2AK
240078_at	-0.17261753	SFSWAP
235862_at	-0.14282948	
1561660_at	0.1294424	SLC25A53
236101_at	-0.1891418	
216159_s_at	-0.15403284	
224874_at	-0.1185327	POLR1D
1564635_a_at	0.12298367	FHAD1
239838_at	-0.13360639	ZNF776
1556318_s_at	-0.15524275	CAND1
213995_at	-0.20529189	ATP5S
214012_at	0.55851348	ERAP1
237362_at	0.12535187	ZFP41
